community,event_count,affected_records,unplanned_records,planned_records,first_event_date,last_event_date,days_since_last_event_at_dataset_end,unplanned_share,frequency_score,recency_score,historical_risk_score,historical_risk_band
Khoseleni,2,2,2,0,2023-02-15,2024-10-22,678,1.0,0.6313432835820896,0.15605695431877936,56.24887280866786,Medium
Fig Road,2,2,2,0,2023-02-15,2024-10-22,678,1.0,0.6313432835820896,0.15605695431877936,56.24887280866786,Medium
Intake Emasayithini,2,2,2,0,2023-02-15,2024-10-22,678,1.0,0.6313432835820896,0.15605695431877936,56.24887280866786,Medium
Progress Road,2,2,2,0,2023-02-15,2024-10-22,678,1.0,0.6313432835820896,0.15605695431877936,56.24887280866786,Medium
Hlanganisisa Road,2,2,2,0,2023-02-15,2024-10-22,678,1.0,0.6313432835820896,0.15605695431877936,56.24887280866786,Medium
Mariannridge,2,2,2,0,2023-02-15,2024-10-22,678,1.0,0.6313432835820896,0.15605695431877936,56.24887280866786,Medium
Virginia,2,2,2,0,2023-09-22,2024-08-25,736,1.0,0.6313432835820896,0.13312877898702033,55.56102754871509,Medium
Umlazi Y,2,2,2,0,2023-06-22,2024-05-27,826,1.0,0.6313432835820896,0.10403647724147305,54.688258496348666,Medium
Glen Anil,2,2,2,0,2023-09-19,2023-09-22,1074,1.0,0.6313432835820896,0.052735535464885644,53.14923024305105,Medium
Parkhill,2,2,2,0,2023-09-19,2023-09-22,1074,1.0,0.6313432835820896,0.052735535464885644,53.14923024305105,Medium
Umgeni Park,2,2,2,0,2023-09-19,2023-09-22,1074,1.0,0.6313432835820896,0.052735535464885644,53.14923024305105,Medium
Shongweni,2,2,2,0,2023-05-14,2023-07-26,1132,1.0,0.6313432835820896,0.044987533406078375,52.916790181286835,Medium
Cliffdale,2,2,2,0,2023-05-14,2023-07-26,1132,1.0,0.6313432835820896,0.044987533406078375,52.916790181286835,Medium
Avoca,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Berkshire Downs,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Clermont,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Cowies Hill,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Sarnia,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Sea Cow Lake,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Mount Edgecombe,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Mount Moriah,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Newlands,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Gateway,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Parkgate,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Nazareth,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Dawncliffe,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
New Germany Industrial,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Aloes,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Trenance,1,1,1,0,2026-03-15,2026-03-15,169,1.0,0.2701492537313433,0.6293840107503325,52.38898300907714,Medium
Bellair,1,1,1,0,2026-02-06,2026-02-06,206,1.0,0.2701492537313433,0.568710613761671,50.56878109941729,Medium
Umkhumbane,1,1,1,0,2026-02-06,2026-02-06,206,1.0,0.2701492537313433,0.568710613761671,50.56878109941729,Medium
Blackhurst,1,1,1,0,2026-02-06,2026-02-06,206,1.0,0.2701492537313433,0.568710613761671,50.56878109941729,Medium
Ridgeview,1,1,1,0,2026-02-06,2026-02-06,206,1.0,0.2701492537313433,0.568710613761671,50.56878109941729,Medium
Springfield Flats,1,1,1,0,2026-02-06,2026-02-06,206,1.0,0.2701492537313433,0.568710613761671,50.56878109941729,Medium
Sea View,1,1,1,0,2026-02-06,2026-02-06,206,1.0,0.2701492537313433,0.568710613761671,50.56878109941729,Medium
Cato Manor,1,1,1,0,2026-02-06,2026-02-06,206,1.0,0.2701492537313433,0.568710613761671,50.56878109941729,Medium
Richmond Farm,2,2,1,1,2023-10-12,2025-05-06,482,0.5,0.6313432835820896,0.26698896655347903,49.57683317570884,Medium
Mobeni Heights,2,2,1,1,2024-04-15,2025-01-15,593,0.5,0.6313432835820896,0.19697912225789477,47.476537846841325,Medium
Malaba Hills,2,2,1,1,2024-10-01,2024-12-12,627,0.5,0.6313432835820896,0.17945905208296484,46.950935741593426,Medium
Memorial Park,1,1,1,0,2025-01-15,2025-01-15,593,1.0,0.2701492537313433,0.19697912225789477,39.41683635430401,Medium
Illovo,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Amagcino,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Quarry Heights,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Garden Lots,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Panorama,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Old Durban Airport,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
